,SYM_P1,SYM_P2,SYM_SEMICOLON,IDENTIFIER,OP_ASSGN,SYM_SB1,SYM_SB2,KEYWD_IF,SYM_B1,SYM_B2,KEYWD_ELSE,KEYWD_ELIF,KEYWD_FOR,KEYWD_IN,OP_COMMA,KEYWD_WHILE,KEYWD_DO,KEYWD_RETURN,KEYWD_BREAK,KEYWD_CONTINUE,KEYWD_SELECT,KEYWD_CASE,OP_TERN1,KEYWD_DEFAULT,KEYWD_DEF,OP_FUNC,KEYWD_INT,KEYWD_FLOAT,KEYWD_CHAR,KEYWD_BOOL,KEYWD_VOID,KEYWD_STRING,INT_LIT,FLOAT_LITERAL,CHAR_LIT,STR_LIT,KEYWD_TRUE,KEYWD_FALSE,OP_AR_add,OP_AR_sub,OP_AR_mul,OP_AR_div,OP_AR_mod,OP_REL_gt,OP_REL_ge,OP_REL_lt,OP_REL_le,OP_REL_eq,OP_REL_neq,OP_LOG_and,OP_LOG_or,OP_LOG_not,OP_BIT_and,OP_BIT_or,OP_BIT_ls,OP_BIT_rs,OP_BIT_xor,OP_ASSGN1,OP_ASSGN2,OP_ASSGN3,OP_ASSGN4,OP_ASSGN5,OP_ASSGN6,OP_ASSGN7,OP_ASSGN8,OP_INCR,OP_DECR,OP_BIT4,$,START,PROGRAM,STMTS,CODE_BLOCK,STMT,DECL,ASSIGNMENT,CONDITIONAL,ELIF,FOR,WHILE,DOWHILE,JUMP,SELECT,CASE_LIST,FUNCTION,ARG_LIST,FUNCTION_CALL,PARAM_LIST,TYPE,DIM,D_TYPE,EXPR,LIST,LITERAL,BOOL_LIT,BIN_OP,ARTM_OP,REL_OP,LOGCL_OP,BIT_OP,SHORT_OP,PREFIX
0,,,,,,,,,,,,,,,,,,,,,,,,,s5,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3,,1,,,,2,,,,,,,,,,3,,,,4,,6,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,s5,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3,,13,,,,2,,,,,,,,,,3,,,,4,,6,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,s5,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3,,14,,,,2,,,,,,,,,,3,,,,4,,6,,,,,,,,,,,
4,,,,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,r42,,,r42,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,r47,,,r47,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,r48,,,r48,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,r49,,,r49,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,r50,,,r50,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,r51,,,r51,,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,r52,,,r52,,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,s18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,s27,,,s25,,,r46,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,,,,,,,,,,,,,,,,24,,,20,,21,,26,36,,,,,,,23
18,r17,r17,,r17,,,,r17,r17,,,r17,r17,,,r17,r17,r17,r17,r17,r17,r17,,r17,r17,,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,r17,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,r38,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,41,,6,,,,,,,,,,,
20,,,,,,,s42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,r45,,,,,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,,,,,,,,,,,,,,,,24,,,,,44,,26,36,,,,,,,23
23,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,,,,,,,,,,,,,,,,24,,,,,45,,26,36,,,,,,,23
24,,r55,r55,,,,r55,,,r55,,,,,r55,,,,,,,,r55,,,,,,,,,,,,,,,,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,r56,r56,,,,r56,,s46,r56,,,,,r56,,,,,,,,r56,,,,,,,,,,,,,,,,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,r57,r57,,,,r57,,,r57,,,,,r57,,,,,,,,r57,,,,,,,,,,,,,,,,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,,,,,,,,,,,,,,,,24,,,,,48,47,26,36,,,,,,,23
28,r99,,,r99,,,,,r99,,,,,,,,,,,,,,,,,,,,,,,,r99,r99,r99,r99,r99,r99,r99,r99,,,,,,,,,,,,,,,,,,,,,,,,,,r99,r99,r99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,r100,,,r100,,,,,r100,,,,,,,,,,,,,,,,,,,,,,,,r100,r100,r100,r100,r100,r100,r100,r100,,,,,,,,,,,,,,,,,,,,,,,,,,r100,r100,r100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,r101,,,r101,,,,,r101,,,,,,,,,,,,,,,,,,,,,,,,r101,r101,r101,r101,r101,r101,r101,r101,,,,,,,,,,,,,,,,,,,,,,,,,,r101,r101,r101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,r102,,,r102,,,,,r102,,,,,,,,,,,,,,,,,,,,,,,,r102,r102,r102,r102,r102,r102,r102,r102,,,,,,,,,,,,,,,,,,,,,,,,,,r102,r102,r102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,r103,,,r103,,,,,r103,,,,,,,,,,,,,,,,,,,,,,,,r103,r103,r103,r103,r103,r103,r103,r103,,,,,,,,,,,,,,,,,,,,,,,,,,r103,r103,r103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,r61,r61,,,,r61,,,r61,,,,,r61,,,,,,,,r61,,,,,,,,,,,,,,,,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,r62,r62,,,,r62,,,r62,,,,,r62,,,,,,,,r62,,,,,,,,,,,,,,,,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,r63,r63,,,,r63,,,r63,,,,,r63,,,,,,,,r63,,,,,,,,,,,,,,,,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,r64,r64,,,,r64,,,r64,,,,,r64,,,,,,,,r64,,,,,,,,,,,,,,,,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,r65,r65,,,,r65,,,r65,,,,,r65,,,,,,,,r65,,,,,,,,,,,,,,,,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,r66,r66,,,,r66,,,r66,,,,,r66,,,,,,,,r66,,,,,,,,,,,,,,,,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,r67,r67,,,,r67,,,r67,,,,,r67,,,,,,,,r67,,,,,,,,,,,,,,,,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,r43,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,s27,,,s25,,,r46,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,,,,,,,,,,,,,,,,24,,,51,,21,,26,36,,,,,,,23
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,53,54,55,56,,
45,,r54,r54,,,,r54,,,r54,,,,,r54,,,,,,,,r54,,,,,,,,,,,,,,,,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,s27,,,s25,,,,,s22,r41,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,,,,,,,,,,,,,,,,24,76,,,,77,,26,36,,,,,,,23
47,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,r60,,,,,,,,,,,,,s79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,r37,,,,,s81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,,,,,,,,,,,,,,,,24,,,,,82,,26,36,,,,,,,23
53,r68,,,r68,,,,,r68,,,,,,,,,,,,,,,,,,,,,,,,r68,r68,r68,r68,r68,r68,r68,r68,,,,,,,,,,,,,,,,,,,,,,,,,,r68,r68,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,r69,,,r69,,,,,r69,,,,,,,,,,,,,,,,,,,,,,,,r69,r69,r69,r69,r69,r69,r69,r69,,,,,,,,,,,,,,,,,,,,,,,,,,r69,r69,r69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,r70,,,r70,,,,,r70,,,,,,,,,,,,,,,,,,,,,,,,r70,r70,r70,r70,r70,r70,r70,r70,,,,,,,,,,,,,,,,,,,,,,,,,,r70,r70,r70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,r71,,,r71,,,,,r71,,,,,,,,,,,,,,,,,,,,,,,,r71,r71,r71,r71,r71,r71,r71,r71,,,,,,,,,,,,,,,,,,,,,,,,,,r71,r71,r71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,r72,,,r72,,,,,r72,,,,,,,,,,,,,,,,,,,,,,,,r72,r72,r72,r72,r72,r72,r72,r72,,,,,,,,,,,,,,,,,,,,,,,,,,r72,r72,r72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,r73,,,r73,,,,,r73,,,,,,,,,,,,,,,,,,,,,,,,r73,r73,r73,r73,r73,r73,r73,r73,,,,,,,,,,,,,,,,,,,,,,,,,,r73,r73,r73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,r74,,,r74,,,,,r74,,,,,,,,,,,,,,,,,,,,,,,,r74,r74,r74,r74,r74,r74,r74,r74,,,,,,,,,,,,,,,,,,,,,,,,,,r74,r74,r74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,r75,,,r75,,,,,r75,,,,,,,,,,,,,,,,,,,,,,,,r75,r75,r75,r75,r75,r75,r75,r75,,,,,,,,,,,,,,,,,,,,,,,,,,r75,r75,r75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,r76,,,r76,,,,,r76,,,,,,,,,,,,,,,,,,,,,,,,r76,r76,r76,r76,r76,r76,r76,r76,,,,,,,,,,,,,,,,,,,,,,,,,,r76,r76,r76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,r77,,,r77,,,,,r77,,,,,,,,,,,,,,,,,,,,,,,,r77,r77,r77,r77,r77,r77,r77,r77,,,,,,,,,,,,,,,,,,,,,,,,,,r77,r77,r77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,r78,,,r78,,,,,r78,,,,,,,,,,,,,,,,,,,,,,,,r78,r78,r78,r78,r78,r78,r78,r78,,,,,,,,,,,,,,,,,,,,,,,,,,r78,r78,r78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,r79,,,r79,,,,,r79,,,,,,,,,,,,,,,,,,,,,,,,r79,r79,r79,r79,r79,r79,r79,r79,,,,,,,,,,,,,,,,,,,,,,,,,,r79,r79,r79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,r80,,,r80,,,,,r80,,,,,,,,,,,,,,,,,,,,,,,,r80,r80,r80,r80,r80,r80,r80,r80,,,,,,,,,,,,,,,,,,,,,,,,,,r80,r80,r80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,r81,,,r81,,,,,r81,,,,,,,,,,,,,,,,,,,,,,,,r81,r81,r81,r81,r81,r81,r81,r81,,,,,,,,,,,,,,,,,,,,,,,,,,r81,r81,r81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,r82,,,r82,,,,,r82,,,,,,,,,,,,,,,,,,,,,,,,r82,r82,r82,r82,r82,r82,r82,r82,,,,,,,,,,,,,,,,,,,,,,,,,,r82,r82,r82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,r83,,,r83,,,,,r83,,,,,,,,,,,,,,,,,,,,,,,,r83,r83,r83,r83,r83,r83,r83,r83,,,,,,,,,,,,,,,,,,,,,,,,,,r83,r83,r83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,r84,,,r84,,,,,r84,,,,,,,,,,,,,,,,,,,,,,,,r84,r84,r84,r84,r84,r84,r84,r84,,,,,,,,,,,,,,,,,,,,,,,,,,r84,r84,r84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,r85,,,r85,,,,,r85,,,,,,,,,,,,,,,,,,,,,,,,r85,r85,r85,r85,r85,r85,r85,r85,,,,,,,,,,,,,,,,,,,,,,,,,,r85,r85,r85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,r86,,,r86,,,,,r86,,,,,,,,,,,,,,,,,,,,,,,,r86,r86,r86,r86,r86,r86,r86,r86,,,,,,,,,,,,,,,,,,,,,,,,,,r86,r86,r86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,r87,,,r87,,,,,r87,,,,,,,,,,,,,,,,,,,,,,,,r87,r87,r87,r87,r87,r87,r87,r87,,,,,,,,,,,,,,,,,,,,,,,,,,r87,r87,r87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,r88,,,r88,,,,,r88,,,,,,,,,,,,,,,,,,,,,,,,r88,r88,r88,r88,r88,r88,r88,r88,,,,,,,,,,,,,,,,,,,,,,,,,,r88,r88,r88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,r89,,,r89,,,,,r89,,,,,,,,,,,,,,,,,,,,,,,,r89,r89,r89,r89,r89,r89,r89,r89,,,,,,,,,,,,,,,,,,,,,,,,,,r89,r89,r89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,r90,,,r90,,,,,r90,,,,,,,,,,,,,,,,,,,,,,,,r90,r90,r90,r90,r90,r90,r90,r90,,,,,,,,,,,,,,,,,,,,,,,,,,r90,r90,r90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,r58,r58,,,,r58,,,r58,,,,,r58,,,,,,,,r58,,,,,,,,,,,,,,,,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,,,,,,,,,,,,,,,,24,,,,,48,85,26,36,,,,,,,23
80,,,,,,,,,,,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,6,,,,,,,,,,,
81,,,,,,,,,,r38,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,41,,6,,,,,,,,,,,
82,,,,,,,,,,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,r39,r39,,,,r39,,,r39,,,,,r39,,,,,,,,r39,,,,,,,,,,,,,,,,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,s27,,,s25,,,,,s22,r41,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,,,,,,,,,,,,,,,,24,89,,,,77,,26,36,,,,,,,23
85,,r59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,r53,r53,,,,r53,,,r53,,,,,r53,,,,,,,,r53,,,,,,,,,,,,,,,,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,s27,,,s102,,,,s103,s22,,,,s104,,,s105,s106,s107,s108,s109,s110,,,,,,s7,s8,s9,s10,s11,s12,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,91,,92,93,94,95,,96,97,98,99,100,,,,24,,4,,6,101,,26,36,,,,,,,23
91,,s111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,s27,r5,,s102,,,,s103,s22,,,,s104,,,s105,s106,s107,s108,s109,s110,r5,,r5,,,s7,s8,s9,s10,s11,s12,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,112,,92,93,94,95,,96,97,98,99,100,,,,24,,4,,6,101,,26,36,,,,,,,23
93,r8,r8,,r8,,,,r8,r8,,,r8,r8,,,r8,r8,r8,r8,r8,r8,r8,,r8,,,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,,,,,,,,,,,,,,,,,,,,,,,,,,r8,r8,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,r9,r9,,r9,,,,r9,r9,,,r9,r9,,,r9,r9,r9,r9,r9,r9,r9,,r9,,,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,,,,,,,,,,,,,,,,,,,,,,,,,,r9,r9,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
